"X","platform","seed","Npar","delta.target","time.warmup","time.sampling","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","metric","eps.final","samples.per.sampling.time","samples.per.time","time.total","model","mean.efficiency","sd.efficiency","median.efficiency","lwr.efficiency","upr.efficiency"
5,"stan.nuts",1,2,0.9,0.11,0.234,2698.25980754556,4809.25945789929,10000,2727.9756725588,0.999907659004056,1.00024761391842,1.00001935595389,"diag_e",0.82633654014443,11531.0248185708,7843.77851030687,0.344,"mvnc",8306.5113994477,1151.62581329132,8171.14264003424,6863.59714454831,10349.8804578401
11,"stan.nuts",2,2,0.9,0.109,0.219,3394.76079017156,6742.58870445656,10000,3515.34560461135,0.999900330773093,1.00002876748038,0.999908587107787,"diag_e",0.893663007228728,15501.1908227012,10349.8804578401,0.328,"mvnc",8306.5113994477,1151.62581329132,8171.14264003424,6863.59714454831,10349.8804578401
17,"stan.nuts",3,2,0.9,0.109,0.25,2464.03137489284,4936.82026040051,10000,2602.37089824718,0.999901133682719,1.00018695114241,1.00011920538221,"diag_e",0.755191982364733,9856.12549957137,6863.59714454831,0.359,"mvnc",8306.5113994477,1151.62581329132,8171.14264003424,6863.59714454831,10349.8804578401
23,"stan.nuts",4,2,0.9,0.109,0.234,2894.75776234539,5360.71817246202,10000,2877.74231308167,1.00006648538683,1.00013765014457,1.00008102727674,"diag_e",0.780838447919341,12370.7596681427,8439.52700392242,0.343,"mvnc",8306.5113994477,1151.62581329132,8171.14264003424,6863.59714454831,10349.8804578401
29,"stan.nuts",5,2,0.9,0.109,0.313,3351.35175922022,4650.50385462623,10000,3409.29190715295,0.999915195413712,1.00100535616288,1.00058741472323,"diag_e",0.565604995103122,10707.1941189144,7941.5918464934,0.422,"mvnc",8306.5113994477,1151.62581329132,8171.14264003424,6863.59714454831,10349.8804578401
35,"stan.nuts",6,2,0.9,0.109,0.266,3150.26003759065,5071.42904465368,10000,2996.57471653409,0.999914445593668,1.00017182465258,1.00017174060194,"diag_e",0.68455834841834,11843.0828480852,8400.69343357508,0.375,"mvnc",8306.5113994477,1151.62581329132,8171.14264003424,6863.59714454831,10349.8804578401
6,"stan.nuts",1,2,0.95,0.141,0.265,2791.16010987855,4541.92503853239,10000,3158.64234822523,0.999962295462207,1.00013641427993,1.00004726089692,"diag_e",0.688860804910312,10532.6796599191,6874.77859575998,0.406,"mvnc",7187.86998445656,492.040960196816,7272.20686453277,6432.67030209363,7847.85299202413
12,"stan.nuts",2,2,0.95,0.141,0.297,3127.33337253596,4715.68257270616,10000,3189.21270877372,0.999900782169331,1.00016489446018,0.999994748612603,"diag_e",0.550874014773934,10529.7419950706,7140.03053090403,0.438,"mvnc",7187.86998445656,492.040960196816,7272.20686453277,6432.67030209363,7847.85299202413
18,"stan.nuts",3,2,0.95,0.14,0.282,2714.58686748351,5170.0280936899,10000,3324.81082903927,0.999969884433373,1.00028641749642,1.00023407387701,"diag_e",0.642263179514512,9626.19456554437,6432.67030209363,0.422,"mvnc",7187.86998445656,492.040960196816,7272.20686453277,6432.67030209363,7847.85299202413
24,"stan.nuts",4,2,0.95,0.125,0.313,3253.24687805468,4832.9093575572,10000,3378.93411671142,0.999900268700564,1.00027897491377,0.999911310698993,"diag_e",0.588468393535536,10393.7599937849,7427.50428779608,0.438,"mvnc",7187.86998445656,492.040960196816,7272.20686453277,6432.67030209363,7847.85299202413
